Energy sources,2019 (Billion kWh),2019 (%),2020 (Billion kWh),2020 (%),2021 (Billion kWh),2021 (%),2022 (Billion kWh),2022 (%)
Gross electricity production in total,602.3,100.0,568.1,100.0,581.8,100.0,571.3,100.0
Lignite,114.0,18.7,91.7,16.0,110.1,18.8,116.2,20.1
Hard coal,57.5,9.5,42.8,7.4,54.6,9.3,64.4,11.2
Nuclear energy,75.1,12.3,64.4,11.2,69.1,11.8,34.7,6.0
Natural gas,89.9,14.8,94.7,16.5,90.3,15.4,79.8,13.8
Mineral oil products,4.8,0.8,4.7,0.8,4.6,0.8,4.4,0.8
Renewable energy sources,241.6,39.7,251.1,43.8,233.9,39.8,254.0,44.0
Wind power,125.9,20.7,132.1,23.0,114.7,19.5,125.3,21.7
Water power,20.1,3.3,18.7,3.3,19.7,3.4,17.5,3.0
Biomass energy,44.3,7.3,45.1,7.8,44.3,7.5,44.6,7.7
Photovoltaic energy,45.2,7.4,49.5,8.6,49.3,8.4,60.8,10.5
Household waste,5.8,1.0,5.8,1.0,5.8,1.0,5.6,1.0
Geothermal,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
Other energy sources,25.4,4.2,24.8,4.3,24.5,4.2,23.8,4.1